num,sys
23,Facebook-AI
24,Facebook-AI
25,Facebook-AI
26,Facebook-AI
27,Facebook-AI
28,Facebook-AI
29,Facebook-AI
30,Facebook-AI
31,Facebook-AI
32,Facebook-AI
33,Facebook-AI
34,Facebook-AI
35,Facebook-AI
36,Facebook-AI
37,Facebook-AI
38,Facebook-AI
39,Facebook-AI
40,Facebook-AI
41,Facebook-AI
42,Facebook-AI
43,Facebook-AI
44,Facebook-AI
45,Facebook-AI
46,Facebook-AI
47,Facebook-AI
48,Facebook-AI
49,Facebook-AI
50,Facebook-AI
51,Facebook-AI
52,Facebook-AI
64,Facebook-AI
65,Facebook-AI
66,Facebook-AI
67,Facebook-AI
68,Facebook-AI
69,Facebook-AI
70,Facebook-AI
71,Facebook-AI
72,Facebook-AI
73,Facebook-AI
74,Facebook-AI
75,Facebook-AI
76,Facebook-AI
77,Facebook-AI
79,Facebook-AI
80,Facebook-AI
81,Facebook-AI
82,Facebook-AI
83,Facebook-AI
84,Facebook-AI
85,Facebook-AI
86,Facebook-AI
88,Facebook-AI
89,Facebook-AI
90,Facebook-AI
91,Facebook-AI
92,Facebook-AI
93,Facebook-AI
94,Facebook-AI
95,Facebook-AI
100,Facebook-AI
102,Facebook-AI
103,Facebook-AI
104,Facebook-AI
105,Facebook-AI
107,Facebook-AI
113,Facebook-AI
115,Facebook-AI
116,Facebook-AI
118,Facebook-AI
119,Facebook-AI
120,Facebook-AI
121,Facebook-AI
122,Facebook-AI
123,Facebook-AI
124,Facebook-AI
125,Facebook-AI
126,Facebook-AI
127,Facebook-AI
128,Facebook-AI
129,Facebook-AI
130,Facebook-AI
131,Facebook-AI
145,Facebook-AI
146,Facebook-AI
147,Facebook-AI
148,Facebook-AI
149,Facebook-AI
150,Facebook-AI
151,Facebook-AI
152,Facebook-AI
153,Facebook-AI
154,Facebook-AI
155,Facebook-AI
156,Facebook-AI
157,Facebook-AI
158,Facebook-AI
159,Facebook-AI
160,Facebook-AI
161,Facebook-AI
162,Facebook-AI
163,Facebook-AI
164,Facebook-AI
165,Facebook-AI
166,Facebook-AI
167,Facebook-AI
168,Facebook-AI
169,Facebook-AI
177,Facebook-AI
178,Facebook-AI
179,Facebook-AI
180,Facebook-AI
190,Facebook-AI
191,Facebook-AI
192,Facebook-AI
193,Facebook-AI
196,Facebook-AI
198,Facebook-AI
199,Facebook-AI
200,Facebook-AI
201,Facebook-AI
202,Facebook-AI
